ID,assignment,country,year
barcode01,SEA4,Philippines,2016
barcode02,SEA4,Philippines,2015
barcode37,SEA4,Philippines,2012
barcode61,SEA4,Philippines,2013
barcode13,SEA4,Philippines,2014
barcode14,SEA4,Philippines,2018
barcode25,SEA4,Philippines,2014
barcode26,SEA4,Philippines,2012
barcode49,SEA4,Philippines,2016
barcode73,SEA4,Philippines,2015
barcode85,SEA4,Philippines,2013
14,SEA4,Philippines,
19-30,SEA4,Philippines,
19-40,SEA4,Philippines,
153,SEA4,Philippines,2018
COW,SEA4,Philippines,
GOAT,SEA4,Philippines,
RADDL3-15-172,SEA4,Philippines,2015
RADDL3-16-468,SEA4,Philippines,2016
RADDL3-845,SEA4,Philippines,2015
RADDL3-1045,SEA4,Philippines,2015
Z-12-012,SEA4,Philippines,2012
Z-13-032,SEA4,Philippines,2013
Z-13-094,SEA4,Philippines,2013
Z-13-096,SEA4,Philippines,2013
Z-14-033,SEA4,Philippines,2014
Z-14-136,SEA4,Philippines,2014
Z-14-182,SEA4,Philippines,2014
Z-15-001,SEA4,Philippines,2015
Z-16-082,SEA4,Philippines,2016
Z-16-151,SEA4,Philippines,2016
Z-16-209,SEA4,Philippines,2016
Z-16-210,SEA4,Philippines,2016
Z-16-211,SEA4,Philippines,2016
R1-21-148,SEA4,Philippines,2021
R6-21-4511,SEA4,Philippines,2021
R6-21-4600,SEA4,Philippines,2021
R5-21-132,SEA4,Philippines,2021
R11-21-61,SEA4,Philippines,2021
R11-21-63,SEA4,Philippines,2021
R10-920,SEA4,Philippines,
4B-21-126,SEA4,Philippines,2021
4B-22-15,SEA4,Philippines,2022
4B-22-114,SEA4,Philippines,2022
R5-21-128,SEA4,Philippines,2021
R5-21-119,SEA4,Philippines,2021
R5-21-115,SEA4,Philippines,2021
4B-21-29,SEA4,Philippines,2021
4B-21-35,SEA4,Philippines,2021
4B-21-310,SEA4,Philippines,2021
4B-21-412,SEA4,Philippines,2021
4B-21-421,SEA4,Philippines,2021
4B-21-423,SEA4,Philippines,2021
4B-21-528,SEA4,Philippines,2021
R3-21-0467,SEA4,Philippines,
R2-081,SEA4,Philippines,2020
R3-731,SEA4,Philippines,
R3-0483,SEA4,Philippines,
4A-22-40,SEA4,Philippines,2022
4A-22-98,SEA4,Philippines,2022
4A-22-104,SEA4,Philippines,2022
4B-2422,SEA4,Philippines,2022
4B-2922HM,SEA4,Philippines,2022
4B-2922JG,SEA4,Philippines,2022
4B-21622,SEA4,Philippines,2022
R5-09,SEA4,Philippines,2022
R6-4342,SEA4,Philippines,2021
R6-4568,SEA4,Philippines,2021
R9-010,SEA4,Philippines,2020
R9-074,SEA4,Philippines,2021
R9-089,SEA4,Philippines,2021
R9-105,SEA4,Philippines,2021
R10-714,SEA4,Philippines,
R10-907,SEA4,Philippines,
H22-01,SEA4,Philippines,
R11-21-57,SEA4,Philippines,2021