ID,ID,country,year,assignment,lineage,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
4A-22-104,4A-22-104,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,25/1/2022,Sabang,Lipa,Batangas,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,,
4A-22-171,4A-22-171,Philippines,2022,Asian SEA4,Asian SEA4_B1.1.1,6/2/2022,Buenavista,General Trias,Cavite,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,,
4A-22-203,4A-22-203,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,11/2/2022,Guiang-Guiang,Lucena ,Quezon,13.93834754,121.6153593,Canis familiaris,Domestic Dog,,,
4A-22-40,4A-22-40,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,10/1/2022,-,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
4A-22-98,4A-22-98,Philippines,2022,Asian SEA4,Asian SEA4_B1.1,22/1/2022,Baguio,Tayabas,Quezon,14.04055469,121.6122459,Canis familiaris,Domestic Dog,,,
4B-21-126,4B-21-126,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,26/1/2021,Sapul,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,,
4B-21-29,4B-21-29,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,9/2/2021,San Narciso ,Victoria ,Oriental Mindoro,13.14368391,121.2438544,Canis familiaris,Domestic Dog,,,
4B-21-310,4B-21-310,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,10/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-35,4B-21-35,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,5/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-412,4B-21-412,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,12/4/2021,Sto Nino,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-421,4B-21-421,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,14/4/2021,Malapad,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-21-423,4B-21-423,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,23/4/2021,Camilmil,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,,
4B-21-528,4B-21-528,Philippines,2021,Asian SEA4,Asian SEA4_A1.1.2,28/5/2021,Aninuan,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21622,4B-21622,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,16/2/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-114,4B-22-114,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,14/1/2022,Mayabig,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-13,4B-22-13,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,22/4/2022,Teresita,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-15,4B-22-15,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,5/1/2022,San Isidro,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-22-16,4B-22-16,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,28/4/2022,Orcenuma,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,,
4B-22-17,4B-22-17,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,8/5/2022,Narra,Gloria,Oriental Mindoro,12.92166054,121.3754507,Canis familiaris,Domestic Dog,,,
4B-22-20,4B-22-20,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,19/5/2022,Don Pedro,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-21,4B-22-21,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,31/5/2022,Panggulayan,Pinamalayan,Oriental Mindoro,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,,
4B-22-28,4B-22-28,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,27/7/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-30,4B-22-30,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,12/8/2022,Bangkatan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-31,4B-22-31,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,18/8/2022,Bayanan,Pola,Oriental Mindoro,13.13990357,121.4449478,Canis familiaris,Domestic Dog,,,
4B-22-35,4B-22-35,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,25/10/2022,Bagumbayan,Roxas,Oriental Mindoro,12.61737051,121.4554967,Canis familiaris,Domestic Dog,,,
4B-22-37,4B-22-37,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,1/10/2022,San Isidro,Alcantara,Romblon,12.29784708,122.054934,Canis familiaris,Domestic Dog,,,
4B-22-39,4B-22-39,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,21/10/2022,San Isidro,Alcantara,Romblon,12.29784708,122.054934,Canis familiaris,Domestic Dog,,,
4B-22-40,4B-22-40,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,2/12/2022,Balugo,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-41,4B-22-41,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,24/11/2022,Dapawan,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-22-42,4B-22-42,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,26/11/2022,Bonlao,Alcantara,Romblon,12.29784708,122.054934,Canis familiaris,Domestic Dog,,,
4B-22-44,4B-22-44,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,11/12/2022,Dapawan,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-22-45,4B-22-45,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,12/12/2022,Concepcion Sur,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,,
4B-23-01,4B-23-01,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,20/1/2023,Concepcion Norte,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,,
4B-23-02,4B-23-02,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,13/1/2023,Dapawan,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-23-03,4B-23-03,Philippines,2023,Asian SEA4,Asian SEA4_A1.1.2,22/1/2023,Sugod,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,,
4B-23-04,4B-23-04,Philippines,2023,Asian SEA4,Asian SEA4_A1.1.2,31/1/2023,Carmen,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,,
4B-23-05,4B-23-05,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,20/1/2023,Sugod,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,,
4B-23-06,4B-23-06,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,2/2/2023,Concepcion Norte,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,,
4B-23-07,4B-23-07,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,7/2/2023,Concepcion Sur,Santa Maria,Romblon,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,,
4B-23-11,4B-23-11,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,7/2/2023,Jun Carlo,San Andres,Romblon,12.53642104,122.0469478,Canis familiaris,Domestic Dog,,,
4B-23-13,4B-23-13,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,9/2/2023,Rizal,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-23-15,4B-23-15,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,16/2/2023,Anahao,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-23-16,4B-23-16,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,28/2/2023,Dapawan,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-23-17,4B-23-17,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,1/3/2023,Poctoy,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,Domestic Dog,,,
4B-23-19,4B-23-19,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,1/3/2023,Mahabang Baybay,San Agustin,Romblon,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,,
4B-2422,4B-2422,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,4/2/2022,Concepcion,Calintaan,Occidental Mindoro,12.59217706,121.082659,Canis familiaris,Domestic Dog,,,
4B-2922HM,4B-2922HM,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,9/2/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-2922JG,4B-2922JG,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,9/2/2022,Anilao,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,,
98-134,98-134,Philippines,1998,Asian SEA4,Asian SEA4_A1,9/2/1998,Sampaloc   Homes,Dasmarinas,Cavite,14.31850325,120.9657797,Canis familiaris,Domestic Dog,,,
98-206,98-206,Philippines,1998,Asian SEA4,Asian SEA4_A1,2/3/1998,Bagongbayan,Sta Cruz,Laguna,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,,
98-285,98-285,Philippines,1998,Asian SEA4,Asian SEA4_A1,18/3/1998,-,San Pablo,Laguna,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,,
98-286,98-286,Philippines,1998,Asian SEA4,Asian SEA4_A1,19/3/1998,Tayuman,Mulanay,Quezon,13.52552491,122.4578973,Canis familiaris,Domestic Dog,,,
98-335,98-335,Philippines,1998,Asian SEA4,Asian SEA4_A1.3,1/4/1998,-,Nagcarlan,Laguna,14.14027602,121.4032743,Canis familiaris,Domestic Dog,,,
H-23-011Sa11,H-23-011Sa11,Philippines,2023,Asian SEA4,Asian SEA4_B1,2/2/2023,Concepcion Sur,Santa Maria,Romblon,12.40310216,122.0836566,Homo sapiens,Human,,,
H-23-011Sk12,H-23-011Sk12,Philippines,2023,Asian SEA4,Asian SEA4_B1,2/2/2023,Concepcion Sur,Santa Maria,Romblon,12.40310216,122.0836566,Homo sapiens,Human,,,
R1-21-148,R1-21-148,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,10/4/2021,Malibong,Urbiztondo,Pangasinan,15.82353439,120.3636915,Canis familiaris,Domestic Dog,,,
R10-688,R10-688,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,2/7/2021,,Malaybalay,Bukidnon,8.160681669,125.1787735,Canis familiaris,Domestic Dog,,,
R10-711,R10-711,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,12/7/2021,Balulang,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-824,R10-824,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/9/2021,Bulua,Cagayan de Oro ,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-856,R10-856,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,27/9/2021,-,Manticao,Misamis Oriental,8.374138099,124.3486702,Canis familiaris,Domestic Dog,,,
R10-907,R10-907,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/10/2021,Gango,Libona,Bukidnon,8.327601426,124.7570432,Canis familiaris,Domestic Dog,,,
R10-920,R10-920,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,26/10/2021,Agusan,Cagayan de Oro,Misamis Oriental,8.409218588,124.6235169,Canis familiaris,Domestic Dog,,,
R10-989,R10-989,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/11/2021,Barangay 1,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,,
R10-990,R10-990,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,25/11/2021,Agay-Ayan,Gingoog ,Misamis Oriental,8.776382452,125.0898786,Canis familiaris,Domestic Dog,,,
R11-21-61,R11-21-61,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,11/8/2021,,Midsayap,Cotabato,7.136249451,124.5166062,Canis familiaris,Domestic Dog,,,
R11-21-63,R11-21-63,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,4/10/2021,,Tagum ,Davao del Norte,7.434951203,125.7990149,Canis familiaris,Domestic Dog,,,
R11-22-002,R11-22-002,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,5/1/2022,Talomo,Davao ,Davao del Sur,7.254430625,125.4144871,Canis familiaris,Domestic Dog,,,
R2-081,R2-081,Philippines,2020,Asian SEA4,Asian SEA4_A1.2.1,31/8/2020,Ugac Norte,Tuguegarao  ,Cagayan,17.60612446,121.7593619,Canis familiaris,Domestic Dog,,,
R3-731,R3-731,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/12/2021,Sangitan,Cabanatuan,Nueva Ecija,15.49243695,120.9899426,Canis familiaris,Domestic Dog,,,
R5-21-115,R5-21-115,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,28/9/2021,Pob. III,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,,
R5-21-119,R5-21-119,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,15/10/2021,San Pedro,Irosin,Sorsogon,12.71458793,124.0300037,Canis familiaris,Domestic Dog,,,
R5-21-128,R5-21-128,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/11/2021,Cararayan,Naga,Camarines Sur,13.64368803,123.2594656,Canis familiaris,Domestic Dog,,,
R5-21-132,R5-21-132,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,15/11/2021,Labnig,Malinao,Albay,13.3845747,123.6522757,Canis familiaris,Domestic Dog,,,
R5-21-136,R5-21-136,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,2/12/2021,-,Libon,Albay,13.24707931,123.3705704,Canis familiaris,Domestic Dog,,,
R5-21-140,R5-21-140,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,10/12/2021,Calang Calawan,Vinzons,Camarines Norte,14.19277209,122.8889974,Canis familiaris,Domestic Dog,,,
R5-22-008,R5-22-008,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,2/2/2022,Sto. Cristo,Tabaco,Albay,13.32537797,123.668741,Canis familiaris,Domestic Dog,,,
R5-22-09,R5-22-09,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,7/2/2022,Bauud,Malilipot,Albay,13.30206264,123.724162,Felis catus,Cat,,,
R6-21-4375,R6-21-4375,Philippines,2021,Asian SEA4,Asian SEA4_A1,1/10/2021,Labigan,Sara,Iloilo,11.29863894,122.9983924,Canis familiaris,Domestic Dog,,,
R6-21-4511,R6-21-4511,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,8/10/2021,San Isidro,Tibiao,Antique,11.31177392,122.0839795,Canis familiaris,Domestic Dog,,,
R6-21-4600,R6-21-4600,Philippines,2021,Asian SEA4,Asian SEA4_A1,14/10/2021,Jibao-An,Pavia,Iloilo,10.76834195,122.5361294,Canis familiaris,Domestic Dog,,,
R6-4342,R6-4342,Philippines,2021,Asian SEA4,Asian SEA4_A1,30/9/2021,Cabanban,Oton,Iloilo,10.72535873,122.4673796,Bos taurus,Cow,,,
R6-4568,R6-4568,Philippines,2021,Asian SEA4,Asian SEA4_A1,13/10/2021,Avila,Buenavista,Guimaras,10.69136331,122.6621626,Canis familiaris,Domestic Dog,,-,
R7-21-161,R7-21-161,Philippines,2021,Asian SEA4,Asian SEA4_A1,18/10/2021,Pusok,Lapu lapu,Cebu,10.29788925,123.9784138,Canis familiaris,Domestic Dog,,,
R9-010,R9-010,Philippines,2020,Asian SEA4,Asian SEA4_A1.2,27/1/2020,San Roque,Zamboanga  ,Zamboanga Del Sur,7.154200895,122.139348,Felis catus,Cat,,,
R9-074,R9-074,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,20/8/2021,Cogon,Sagun,Zamboanga Del Sur,7.519657705,123.1738437,Canis familiaris,Domestic Dog,,,
R9-089,R9-089,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,7/10/2021,Pangi,Ipil,Zamboanga Sibugay,7.780235248,122.5765115,Canis familiaris,Domestic Dog,,,
R9-105,R9-105,Philippines,2021,Asian SEA4,Asian SEA4_A1.2,9/12/2021,Lopoc,Labason,Zamboanga Del Norte,8.030135135,122.5303567,Canis familiaris,Domestic Dog,,,
RADDL3-1045,RADDL3-1045,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,23/10/2015,St. Francis ,Limay,Bataan,14.53878982,120.5544428,Canis familiaris,Domestic Dog,,,
RADDL3-15-172,RADDL3-15-172,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,12/2/2015,Cvo,San Jose  ,Nueva Ecija,15.78462183,120.9975839,Canis familiaris,Domestic Dog,,,
RADDL3-16-468,RADDL3-16-468,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,1/6/2016,Sta Teresita,Angeles  ,Pampanga,15.14555779,120.5862479,Canis familiaris,Domestic Dog,,,
RADDL3-16-627,RADDL3-16-627,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,27/7/2016,Ligas,Malolos,Bulacan,14.82958643,120.8367451,Canis familiaris,Domestic Dog,,,
RADDL3-845,RADDL3-845,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,2/9/2015,San Jose,Floridablanca,Pampanga,14.98771276,120.4868625,Canis familiaris,Domestic Dog,,,
RADDL5-005,RADDL5-005,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,30/1/2015,San Nicolas,Iriga  ,Camarines Sur,13.44838237,123.4332975,Canis familiaris,Domestic Dog,,,
Z-04-664,Z-04-664,Philippines,2004,Asian SEA4,Asian SEA4_A1.2,15/12/2004,Lower Bicutan,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-05-102,Z-05-102,Philippines,2005,Asian SEA4,Asian SEA4_D1,21/2/2005,,Muntinlupa  ,Metro Manila,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,,
Z-05-191,Z-05-191,Philippines,2005,Asian SEA4,Asian SEA4_A1.2,10/4/2005,Lower Bicutan,Taguig,Metro Manila,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,,
Z-05-557,Z-05-557,Philippines,2005,Asian SEA4,Asian SEA4_D1,3/12/2005,Rizal,Makati,Metro Manila,14.54943127,121.0335906,Canis familiaris,Domestic Dog,,,
Z-05-96,Z-05-96,Philippines,2005,Asian SEA4,Asian SEA4_A1.2,17/2/2005,Maywood Sucat,Paranaque,Metro Manila,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,,
Z-06-150,Z-06-150,Philippines,2006,Asian SEA4,Asian SEA4_A1,24/4/2006,Balete,Batangas  ,Batangas,13.7207195,121.103796,Canis familiaris,Domestic Dog,,,
Z-06-295,Z-06-295,Philippines,2006,Asian SEA4,Asian SEA4_B1.1,22/7/2006,Lucsuhin,Calatagan,Batangas,13.86384068,120.6585868,Canis familiaris,Domestic Dog,,,
