ID,country,year,assignment,lineage,lab_date,brgy,province,place,latitude,longitude,species,species_type,,
Z-06-39,Philippines,2006,Asian SEA4,Asian SEA4_B1,26/1/2006,Ambulong,Batangas,Tanauan  ,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,
Z-07-07,Philippines,2007,Asian SEA4,Asian SEA4_B1.1.1,8/1/2007,Tierra Nevada,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-07-22,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,23/1/2007,Dagatan,Cavite,Amadeo,14.187281,120.9251442,Canis familiaris,Domestic Dog,,
Z-07-222,Philippines,2007,Asian SEA4,Asian SEA4_B1.1.1,30/6/2007,-,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-07-351,Philippines,2007,Asian SEA4,Asian SEA4_D1,25/10/2007,Wawa,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-07-366,Philippines,2007,Asian SEA4,Asian SEA4_A1.2,12/11/2007,Timbol,Batangas,Lipa  ,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,
Z-07-38,Philippines,2007,Asian SEA4,Asian SEA4_D1,2/5/2007,Molino 6,Cavite,Bacoor,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,
Z-07-387,Philippines,2007,Asian SEA4,Asian SEA4_A1.2,7/12/2007,Bagong Liing,Quezon,San Antonio,13.89985141,121.2980234,Canis familiaris,Domestic Dog,,
Z-07-398,Philippines,2007,Asian SEA4,Asian SEA4_A1.1.2,19/12/2007,Paciano Rizal,Laguna,Calamba,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-07-403,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,22/12/2007,Sampagutia Exit,Quezon,Lucena  ,13.93834754,121.6153593,Canis familiaris,Domestic Dog,,
Z-07-407,Philippines,2007,Asian SEA4,Asian SEA4_A1.1.2,26/12/2007,Southland Talon 1,Metro Manila,Las Pinas,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-08-351,Philippines,2007,Asian SEA4,Asian SEA4_B1.1,12/12/2008,-,Cavite,GMA,14.30698662,121.0184177,Canis familiaris,Domestic Dog,,
Z-08-359,Philippines,2007,Asian SEA4,Asian SEA4_A1.3.1,25/12/2008,San Lucas II,Laguna,San Pablo  ,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,
Z-09-94,Philippines,2009,Asian SEA4,Asian SEA4_A1.1.2,8/4/2009,Brgy 191,Metro Manila,Pasay  ,14.53080944,121.0041508,Canis familiaris,Domestic Dog,,
Z-12-012,Philippines,2012,Asian SEA4,Asian SEA4_A1.1.2,16/1/2012,Sulpoc,Batangas,Tanauan  ,14.09625533,121.0970452,Canis familiaris,Domestic Dog,,
Z-12-029,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,3/2/2012,Sss Village,Metro Manila,Marikina  ,14.64718362,121.1030131,Canis familiaris,Domestic Dog,,
Z-12-034,Philippines,2012,Asian SEA4,Asian SEA4_A1.3.1,6/2/2012,Bgy. Santo Anghel,Laguna,San Pablo  ,14.05146733,121.3315598,Canis familiaris,Domestic Dog,,
Z-12-060,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,25/2/2012,F.De Castro,Cavite,GMA,14.30698662,121.0184177,Canis familiaris,Domestic Dog,,
Z-12-149,Philippines,2012,Asian SEA4,Asian SEA4_A1.1.2,28/6/2012,Palayan,Oriental Mindoro,Pinamalayan,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,
Z-12-208,Philippines,2012,Asian SEA4,Asian SEA4_A1.2,2/10/2012,De Paro St.,Metro Manila,Caloocan  ,14.74647256,121.0486805,Canis familiaris,Domestic Dog,,
Z-13-020,Philippines,2013,Asian SEA4,Asian SEA4_D1,2/2/2013,Sucat,Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-13-032,Philippines,2013,Asian SEA4,Asian SEA4_D1,14/2/2013,Lower Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-13-036,Philippines,2013,Asian SEA4,Asian SEA4_D1,25/2/2013,Upper Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-13-037,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,25/2/2013,-,Laguna,Cavinti,14.24291032,121.5551642,Canis familiaris,Domestic Dog,,
Z-13-065,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,4/4/2013,Dumuclay North,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-066,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,5/4/2013,Bayan Luma,Cavite,Imus  ,14.39822975,120.9319992,Canis familiaris,Domestic Dog,,
Z-13-071,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/4/2013,Golden Acres,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-13-073,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,12/4/2013,Bf Homes,Metro Manila,Paranaque  ,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,
Z-13-081,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,25/4/2013,Sto. Angel Norte,Laguna,Sta. Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
Z-13-086,Philippines,2013,Asian SEA4,Asian SEA4_D1,3/5/2013,San Carlos ,Rizal,Binangonan,14.49353136,121.1932147,Canis familiaris,Domestic Dog,,
Z-13-089,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,4/5/2013,Malainen Luma,Cavite,Naic,14.29182513,120.7960137,Canis familiaris,Domestic Dog,,
Z-13-094,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/5/2013,Palico II,Cavite,Imus,14.39822975,120.9319992,Canis familiaris,Domestic Dog,,
Z-13-096,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,12/5/2013,Bf International,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Felis catus,Cat,,
Z-13-098,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,13/5/2013,-,Metro Manila,San Juan  ,14.60295528,121.0338172,Canis familiaris,Domestic Dog,,
Z-13-134,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,10/6/2013,"Sto. Nino Vill.,Tunasan",Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-13-135,Philippines,2013,Asian SEA4,Asian SEA4_B1.1.1,12/6/2013,Alulod,Cavite,Indang,14.18917642,120.8713283,Canis familiaris,Domestic Dog,,
Z-13-161,Philippines,2013,Asian SEA4,Asian SEA4_A1.1.2,20/7/2013,Pansol,Laguna,Calamba  ,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-13-171,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,5/8/2013,Pinamocan Silangan,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-184,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,29/8/2013,Tabangaw,Batangas,Batangas  ,13.7207195,121.103796,Canis familiaris,Domestic Dog,,
Z-13-204,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,26/9/2013,Dayap,Laguna,Calauan,14.13318557,121.2951683,Canis familiaris,Domestic Dog,,
Z-13-216,Philippines,2013,Asian SEA4,Asian SEA4_A1.3,25/10/2013,Bgy. 2,Occidental Mindoro,Mamburao,13.25401504,120.6612766,Canis familiaris,Domestic Dog,,
Z-13-234,Philippines,2013,Asian SEA4,Asian SEA4_A1.3.1,15/11/2013,Mayapa,Laguna,Calamba ,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-13-259,Philippines,2013,Asian SEA4,Asian SEA4_C1,18/12/2013,  Pound,Cavite,Cavite  ,14.48021461,120.8978023,Canis familiaris,Domestic Dog,,
Z-14-023,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,31/1/2014,Poblacion I,Laguna,Sta. Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
Z-14-033,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,7/2/2014,"Bagumbayan, Zone 4",Quezon,Atimonan,13.98301338,121.8863992,Canis familiaris,Domestic Dog,,
Z-14-05,Philippines,2014,Asian SEA4,Asian SEA4_C1,5/1/2014,Pasong Camachile,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-14-058,Philippines,2014,Asian SEA4,Asian SEA4_D1,14/3/2014,-,Rizal,Taytay,14.56080116,121.1315174,Canis familiaris,Domestic Dog,,
Z-14-098,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,29/4/2014,Dita,Batangas,Cuenca,13.90952328,121.0537657,Canis familiaris,Domestic Dog,,
Z-14-101,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,4/5/2014,Upper Bicutan,Metro Manila,Taguig  ,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-14-106,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,8/5/2014,Sta. Cruz,Cavite,Cavite  ,14.48021461,120.8978023,Felis catus,Cat,,
Z-14-126,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,31/5/2014,Talon 5,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-14-136,Philippines,2014,Asian SEA4,Asian SEA4_A1.1.2,11/6/2014,"Parklane,San Francisco",Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-14-142,Philippines,2014,Asian SEA4,Asian SEA4_C1,21/6/2014,Mercedes Homes 3,Laguna,Binan  ,14.30526494,121.0647852,Canis familiaris,Domestic Dog,,
Z-14-182,Philippines,2014,Asian SEA4,Asian SEA4_A1.2,20/8/2014,San Francisco,Bulacan,Pulilan,14.91386664,120.8556301,Canis familiaris,Domestic Dog,,
Z-14-243,Philippines,2014,Asian SEA4,Asian SEA4_A1.3.1,13/11/2014,Bubukal St.,Laguna,Sta. Cruz,14.26443013,121.4040122,Canis familiaris,Domestic Dog,,
Z-15-001,Philippines,2015,Asian SEA4,Asian SEA4_A1.1.2,1/1/2015,Bagumbayan,Rizal,Pililla,14.4548703,121.3449535,Canis familiaris,Domestic Dog,,
Z-15-009,Philippines,2015,Asian SEA4,Asian SEA4_A1.2,16/1/2015,South Triangle,Metro Manila,Quezon  ,14.67428047,121.0574986,Canis familiaris,Domestic Dog,,
Z-15-163,Philippines,2015,Asian SEA4,Asian SEA4_C1,5/9/2015,Panapaan 8,Cavite,Bacoor  ,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,
Z-16-082,Philippines,2016,Asian SEA4,Asian SEA4_A1.1.2,24/5/2016,Caingin,Laguna,Sta. Rosa  ,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,
Z-16-150,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,5/9/2016,Putatan,Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-16-151,Philippines,2016,Asian SEA4,Asian SEA4_A1.2,5/9/2016,-,Cavite,Carmona,14.29896527,121.0371349,Canis familiaris,Domestic Dog,,
Z-16-196,Philippines,2016,Asian SEA4,Asian SEA4_A1.1.2,23/11/2016,Sampaloc,Cavite,Dasmarinas  ,14.31850325,120.9657797,Canis familiaris,Domestic Dog,,
Z-16-209,Philippines,2016,Asian SEA4,Asian SEA4_A1.3,14/12/2016,Pahinga Sur,Quezon,Candelaria,13.94085961,121.4302409,Canis familiaris,Domestic Dog,,
Z-16-210,Philippines,2016,Asian SEA4,Asian SEA4_B1.1.1,16/12/2016,Almanza 2,Metro Manila,Las Pinas  ,14.4423825,120.9940879,Canis familiaris,Domestic Dog,,
Z-16-211,Philippines,2016,Asian SEA4,Asian SEA4_C1,19/12/2016,Las Villas De Manila,Laguna,Binan  ,14.30526494,121.0647852,Canis familiaris,Domestic Dog,,
Z-17-046,Philippines,2017,Asian SEA4,Asian SEA4_A1.1.2,6/3/2017,Bgy. San Fernando,Batangas,Sto. Tomas,14.07637376,121.1824598,Canis familiaris,Domestic Dog,,
Z-17-174,Philippines,2017,Asian SEA4,Asian SEA4_A1.1.2,23/9/2017,Poblacion,Metro Manila,Muntinlupa ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-17-177,Philippines,2017,Asian SEA4,Asian SEA4_A1.1.2,25/9/2017,Bgy. Navarro,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-17-193,Philippines,2017,Asian SEA4,Asian SEA4_A1.1.2,13/10/2017,Binonoan,Quezon,Infanta,14.71657136,121.650984,Canis familiaris,Domestic Dog,,
Z-17-200,Philippines,2017,Asian SEA4,Asian SEA4_A1.2,31/10/2017,Mamatid,Laguna,Cabuyao,14.24922952,121.121079,Canis familiaris,Domestic Dog,,
Z-17-221,Philippines,2017,Asian SEA4,Asian SEA4_C1,28/11/2017,Bgy. Nawasa,Cavite,Noveleta,14.43119105,120.8796209,Canis familiaris,Domestic Dog,,
Z-17-57,Philippines,2017,Asian SEA4,Asian SEA4_A1.3,29/3/2017,Magbag,Occidental Mindoro,San Jose,12.45581677,121.1219622,Canis familiaris,Domestic Dog,,
Z-18-001,Philippines,2018,Asian SEA4,Asian SEA4_A1.1.2,2/1/2018,"Andrea Vill. I, Panapaan Vi",Cavite,Bacoor  ,14.41614393,120.9704734,Felis catus,Cat,,
Z-18-114,Philippines,2018,Asian SEA4,Asian SEA4_B1.1.1,28/5/2018,Banay-Banay 1St,Batangas,San Jose,13.87787315,121.0901132,Canis familiaris,Domestic Dog,,
Z-18-159,Philippines,2018,Asian SEA4,Asian SEA4_A1.2,19/7/2018,Sta. Cruz,Bulacan,Guiginto,14.83746463,120.8923363,Canis familiaris,Domestic Dog,,
Z-18-224,Philippines,2018,Asian SEA4,Asian SEA4_A1.2,28/10/2018,Camarin Rd.,Metro Manila,Caloocan  ,14.74647256,121.0486805,Canis familiaris,Domestic Dog,,
Z-18-251,Philippines,2018,Asian SEA4,Asian SEA4_A1.1.2,7/12/2018,"Rpa Enterprises, Don Jose",Laguna,Sta. Rosa  ,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,
Z-19-029,Philippines,2019,Asian SEA4,Asian SEA4_A1.3,26/2/2019,Antipolo Del Sur,Batangas,Lipa  ,13.94086577,121.1746864,Canis familiaris,Domestic Dog,,
Z-19-123,Philippines,2019,Asian SEA4,Asian SEA4_A1.1.2,11/8/2019,Anabu 2F,Cavite,Imus,14.39822975,120.9319992,Canis familiaris,Domestic Dog,,
Z-19-136,Philippines,2019,Asian SEA4,Asian SEA4_A1.2,5/9/2019,Canlubang,Laguna,Calamba  ,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-19-88,Philippines,2019,Asian SEA4,Asian SEA4_A1.2,31/5/2019,San Isidro,Rizal,Angono,14.54362773,121.165434,Canis familiaris,Domestic Dog,,
Z-20-01,Philippines,2020,Asian SEA4,Asian SEA4_C1,3/1/2020,"Meadowood Subd.,Panapaan 8",Cavite,Bacoor  ,14.41614393,120.9704734,Canis familiaris,Domestic Dog,,
Z-20-110,Philippines,2020,Asian SEA4,Asian SEA4_A1.2,23/10/2020,"Pacita Complex 1, San Vicente",Laguna,San Pedro,14.34936983,121.0384844,Canis familiaris,Domestic Dog,,
Z-20-24,Philippines,2020,Asian SEA4,Asian SEA4_A1.2,14/2/2020,Bayanan,Metro Manila,Muntinlupa  ,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-20-33,Philippines,2020,Asian SEA4,Asian SEA4_A1.1.2,18/2/2020,F.B. Harizon Edsa,Metro Manila,Pasay  ,14.53080944,121.0041508,Canis familiaris,Domestic Dog,,
Z-20-51,Philippines,2020,Asian SEA4,Asian SEA4_A1.2,2/3/2020,Herald Village Subd.,Rizal,Angono,14.54362773,121.165434,Canis familiaris,Domestic Dog,,
Z-22-103,Philippines,2022,Asian SEA4,Asian SEA4_A1.2,21/11/2022,Paroyhog,Romblon,Santa Maria,12.40310216,122.0836566,Canis familiaris,Domestic Dog,,
Z-22-121,Philippines,2022,Asian SEA4,Asian SEA4_A1.1.2,19/12/2022,Carmen,Romblon,San Agustin,12.55403552,122.1124048,Canis familiaris,Domestic Dog,,
Z-23-01,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,3/1/2023,Balibago,Laguna,Sta. Rosa ,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,
Z-23-01Sa,Philippines,2023,Asian SEA4,Asian SEA4_A1.2,3/1/2023,Balibago,Laguna,Sta. Rosa ,14.27260264,121.0895167,Canis familiaris,Domestic Dog,,
Z-98-1061,Philippines,1998,Asian SEA4,Asian SEA4_A1,5/8/1998,Tejero,Cavite,General Trias,14.32966619,120.8999068,Canis familiaris,Domestic Dog,,
Z-98-433,Philippines,1998,Asian SEA4,Asian SEA4_A1.2,30/4/1998,Palamitan,Cavite,Kawit,14.44475736,120.9012276,Canis familiaris,Domestic Dog,,
Z-98-454,Philippines,1998,Asian SEA4,Asian SEA4_A1,4/5/1998,Betterliving Subd,Metro Manila,Paranaque,14.48357034,121.0147858,Canis familiaris,Domestic Dog,,
Z-98-515,Philippines,1998,Asian SEA4,Asian SEA4_D1,20/5/1998,Cupang,Metro Manila,Muntinlupa,14.40197636,121.0327847,Canis familiaris,Domestic Dog,,
Z-98-616,Philippines,1998,Asian SEA4,Asian SEA4_B1,18/6/1998,-,Bulacan,San Miguel,15.17310142,121.0401182,Canis familiaris,Domestic Dog,,
Z-98-667,Philippines,1998,Asian SEA4,Asian SEA4_A1,29/6/1998,Mayapa,Laguna,Calamba,14.18862277,121.1242055,Canis familiaris,Domestic Dog,,
Z-98-712,Philippines,1998,Asian SEA4,Asian SEA4_A1,11/7/1998,Macantod,Laguna,Siniloan,14.43714914,121.4867785,Canis familiaris,Domestic Dog,,
Z-98-718,Philippines,1998,Asian SEA4,Asian SEA4_A1,13/7/1998,Maraykid,Batangas,San Juan,13.75727426,121.3908944,Canis familiaris,Domestic Dog,,
Z-98-780,Philippines,1998,Asian SEA4,Asian SEA4_A1,25/7/1998,San Miguel,Laguna,Alaminos,14.04459696,121.2475488,Canis familiaris,Domestic Dog,,
Z-98-838,Philippines,1998,Asian SEA4,Asian SEA4_B1,9/8/1998,Upper Bicutan,Metro Manila,Taguig,14.51469695,121.0660524,Canis familiaris,Domestic Dog,,
Z-98-860,Philippines,1998,Asian SEA4,Asian SEA4_A1,14/8/1998,-,Quezon,San Francisco,13.29448721,122.5720534,Canis familiaris,Domestic Dog,,
